Problem,Rationale,options,correct,annotated_formula,linear_formula,category
"for an agricultural experiment , 300 seeds were planted in one plot and 200 were planted in a second plot . if exactly 20 percent of the seeds in the first plot germinated and exactly 35 percent of the seeds in the second plot germinated , what percent of the total number of seeds germinated ?","""in the first plot 20 % of 300 seeds germinated , so 0.20 x 300 = 60 seeds germinated . in the second plot , 35 % of 200 seeds germinated , so 0.35 x 200 = 70 seeds germinated . since 60 + 70 = 130 seeds germinated out of a total of 300 + 200 = 500 seeds , the percent of seeds that germinated is ( 130 / 500 ) x 100 % , or 26 % . answer : b .""","a ) 12 % , b ) 26 % , c ) 29 % , d ) 30 % , e ) 60 %",b,"multiply(divide(add(multiply(divide(20, const_100), 300), multiply(divide(35, const_100), 200)), add(300, 200)), const_100)","add(n0,n1)|divide(n2,const_100)|divide(n3,const_100)|multiply(n0,#1)|multiply(n1,#2)|add(#3,#4)|divide(#5,#0)|multiply(#6,const_100)|",general
"in cliff ’ s impressive rock collection , there are half as many igneous rocks as sedimentary rocks . of the igneous rocks , 3 / 5 are shiny and the rest are matte , while 1 / 5 of the sedimentary rocks are shiny . if there are 30 shiny igneous rocks , how many total rocks does cliff have ?","""we can start with the known quantity and then go on to find the others . shiny igneous ricks are 30 . these are ( 3 / 5 ) of total igneous rocks . ( 3 / 5 ) * total igneous rocks = 30 total igneous rocks = 30 * ( 5 / 3 ) = 50 total sedimentary rocks = 2 * total igneous rocks = 2 * 50 = 100 total number of rocks = 50 + 100 = 150 answer ( d )""","a ) 30 , b ) 45 , c ) 60 , d ) 150 , e ) 135",d,"divide(multiply(divide(multiply(multiply(3, 5), 30), 3), 5), 3)","multiply(n0,n1)|multiply(n4,#0)|divide(#1,n0)|multiply(n1,#2)|divide(#3,n0)|",general
there are 20 poles with a constant distance between each pole . a car takes 22 second to reach the 12 th pole . how much will it take to reach the last pole .,"""assuming the car starts at the first pole . to reach the 12 th pole , the car need to travel 11 poles ( the first pole does n ' t count , as the car is already there ) . 11 poles 22 seconds 1 pole ( 22 / 11 ) seconds to reach the last ( 20 th ) pole , the car needs to travel 19 poles . 19 pole 19 x ( 22 / 11 ) seconds = 38 seconds answer : a""","a ) 38 , b ) 41 , c ) 28 , d ) 88 , e ) 22",a,"multiply(divide(22, 12), 20)","divide(n1,n2)|multiply(n0,#0)|",physics
"meena wrote all the numbers from 1 to 39,999 inclusive . how many digits did she write in total ?","1 - 9 = > 1 * 9 digits 10 - 99 = > 2 * 90 = 180 ( numbers between 10 - 99 is 90 where each has 2 digits ) 100 - 999 = > 3 * 900 = 2700 1000 - 9999 = > 4 * 9000 = 36,000 10000 - 39999 = > 5 * 30,000 = 150,000 the answer is 188,889 the answer is b .","a ) 156,789 , b ) 188,889 , c ) 192,389 , d ) 241,689 , e ) 275,889",b,"add(add(add(subtract(const_10, 1), multiply(subtract(const_100, const_10), const_2)), multiply(subtract(const_100, const_10), const_3)), multiply(subtract(const_100, const_10), const_4))","subtract(const_100,const_10)|subtract(const_10,n0)|multiply(#0,const_2)|multiply(#0,const_3)|multiply(#0,const_4)|add(#2,#1)|add(#5,#3)|add(#6,#4)",general
"solution a is 20 % salt and solution b is 70 % salt . if you have 30 ounces of solution a and 60 ounces of solution b , in what ratio could you mix solution a with solution b to produce 50 ounces of a 50 % salt solution ?","""forget the volumes for the time being . you have to mix 20 % and 80 % solutions to get 50 % . this is very straight forward since 50 is int he middle of 20 and 80 so we need both solutions in equal quantities . if this does n ' t strike , use w 1 / w 2 = ( a 2 - aavg ) / ( aavg - a 1 ) w 1 / w 2 = ( 70 - 50 ) / ( 50 - 20 ) = 2 / 3 so the volume of the two solutions will be equal . answer has to be 2 : 3 c""","a ) 6 : 4 , b ) 6 : 14 , c ) 2 : 3 , d ) 4 : 6 , e ) 3 : 7",c,"divide(divide(subtract(multiply(50, divide(70, const_100)), multiply(50, divide(50, const_100))), subtract(divide(70, const_100), divide(20, const_100))), subtract(50, divide(subtract(multiply(50, divide(70, const_100)), multiply(50, divide(50, const_100))), subtract(divide(70, const_100), divide(20, const_100)))))","divide(n1,const_100)|divide(n4,const_100)|divide(n0,const_100)|multiply(n4,#0)|multiply(n4,#1)|subtract(#0,#2)|subtract(#3,#4)|divide(#6,#5)|subtract(n4,#7)|divide(#7,#8)|",other
what is the smallest integer that satisfies the inequality ( x - 3 ) / ( x ^ 2 - 8 x - 20 ) > 0 > 0 ?,"""explanatory answer let us factorize the denominator and rewrite the expression as x − 3 / ( x − 10 ) ( x + 2 ) > 0 equate each of the terms of the expression to zero to identify the values of x that are relevant to test whether the inequality holds good . the values that are relevant to us are x = 3 , x = 10 and x = - 2 . let us arrange these values in ascending order : - 2 , 3 and 10 . the quickest way to solve inequalities questions after arriving at these values is verifying whether the inequality holds good at the following intervals . interval 1 : x < - 2 . pick a value in that range and check whether the inequality holds good . let us take x = - 10 . when x = - 10 , x − 3 / ( x − 10 ) ( x + 2 ) < 0 ; the inequality does not hold good in this interval . interval 2 : - 2 < x < 3 . let us take x = 0 . when x = 0 , x − 3 / ( x − 10 ) ( x + 2 ) = 0 − 3 / ( 0 − 10 ) ( 0 + 2 ) > 0 ; the inequality holds good in this interval . the least integer value that x can take if x > - 2 is x = - 1 . so , the correct answer is - 1 . choice d . remember : we have to find out the least integer value . and we have arrived at - 1 . do , not waste time computing the entire range of values of x that satisfy the inequality . note : in any inequality question , when the question asks us to determine the intervals in which the inequality holds good , we have to eliminate values of x that will result in the denominator becoming zero . choice d""","a ) - 2 , b ) 10 , c ) 3 , d ) - 1 , e ) 0",d,"divide(subtract(negate(const_1), 3), subtract(subtract(power(negate(const_1), 2), multiply(8, negate(const_1))), 20))","negate(const_1)|multiply(n2,#0)|power(#0,n1)|subtract(#0,n0)|subtract(#2,#1)|subtract(#4,n3)|divide(#3,#5)|",general
"in a 100 m race , a covers the distance in 36 seconds and b in 45 second . in this race a beats b by :","""solution distance covered by b in 9 sec . = ( 100 / 45 x 9 ) m = 20 m . ∴ a beats b by 20 metres . answer a""","a ) 20 m , b ) 25 m , c ) 22.5 m , d ) 9 m , e ) none of these",a,"multiply(divide(100, 45), subtract(45, 36))","divide(n0,n2)|subtract(n2,n1)|multiply(#0,#1)|",physics
"a owner of a mart earns an income of re 1 on the first day of his business . on every subsequent day , he earns an income which is just double of that made on the previous day . on the 10 th day of business , he earns an income of :",2 nd day he earns = 2 ( 2 – 1 ) 3 rd day he earns = 2 ( 3 – 1 ) on 10 th day he earns 2 ( 10 - 1 ) = 18 rupees answer : a,"a ) 18 , b ) 21 , c ) 22 , d ) 20 , e ) 30",a,"add(10, multiply(const_4, const_2))","multiply(const_2,const_4)|add(n1,#0)",physics
"if p = 125 × 243 × 16 / 405 , how many digits are in p ?",p = 125 * 243 * 16 / 405 p = 5 ^ 3 * 3 * 9 ^ 2 * 4 ^ 2 / ( 5 * 9 ^ 2 ) p = 5 ^ 2 * 3 * 4 ^ 2 p = 20 ^ 2 * 3 = 1200 answer d,"a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",d,"divide(multiply(multiply(divide(243, divide(405, add(const_4, const_1))), 16), divide(125, add(const_4, const_1))), multiply(const_100, const_3))","add(const_1,const_4)|multiply(const_100,const_3)|divide(n0,#0)|divide(n3,#0)|divide(n1,#3)|multiply(n2,#4)|multiply(#2,#5)|divide(#6,#1)",general
"jane started baby - sitting when she was 18 years old . whenever she baby - sat for a child , that child was no more than half her age at the time . jane is currently 34 years old , and she stopped baby - sitting 10 years ago . what is the current age of the oldest person for whom jane could have baby - sat ?","""check two extreme cases : jane = 18 , child = 9 , years ago = 34 - 18 = 16 - - > child ' s age now = 9 + 16 = 25 ; jane = 24 , child = 12 , years ago = 34 - 24 = 10 - - > child ' s age now = 12 + 10 = 22 . answer : e .""","a ) 20 , b ) 21 , c ) 22 , d ) 23 , e ) 25",e,"add(divide(18, const_2), subtract(34, 18))","divide(n0,const_2)|subtract(n1,n0)|add(#0,#1)|",general
"from the sale of sleeping bags , a retailer made a gross profit of 17 % of the wholesale cost . if each sleeping bag was sold for $ 28 , what was the wholesale cost per bag ?","""cost price * 1.17 = selling price - - > cost price * 1.17 = $ 28 - - > cost price = $ 23.93 . answer : c .""","a ) 3.0 , b ) 3.36 , c ) 23.93 , d ) 25.0 , e ) 31.36",c,"divide(multiply(28, const_100), add(const_100, 17))","add(n0,const_100)|multiply(n1,const_100)|divide(#1,#0)|",gain
"mixture contains alcohol and water in the ratio 4 : 3 . if 6.5 liters of water is added to the mixture , the ratio becomes 4 : 5 . find the quantity of alcohol in the given mixture .",let the quantity of alcohol and water be 4 x litres and 3 x litres respectively 26 x = 4 ( 3 x + 5 ) 14 x = 20 x = 1.4 quantity of alcohol = ( 4 x 1.4 ) litres = 5.6 litres . answer : e,"a ) 10 , b ) 99 , c ) 27 , d ) 22 , e ) 5.6",e,"multiply(divide(multiply(4, 5), subtract(multiply(6.5, 4), multiply(3, 4))), 4)","multiply(n0,n4)|multiply(n0,n2)|multiply(n0,n1)|subtract(#1,#2)|divide(#0,#3)|multiply(n0,#4)",general
"if the diagonals of a rhombus are 24 cm and 10 cm , what will be its perimeter",explanation : let the diagonals be pr and sq such that pr = 24 cm and sq = 10 cm po = or = 24 / 2 = 12 cm so = oq = 10 / 2 = 5 cm pq = qr = rs = sp = √ ( 122 + 52 ) = √ ( 144 + 25 ) = √ 169 = √ 13 cm perimeter = 4 × 13 = 52 cm answer : option d,"['a ) 42 cm', 'b ) 64 cm', 'c ) 56 cm', 'd ) 52 cm', 'e ) none of these']",d,"rhombus_perimeter(sqrt(add(power(divide(24, const_2), const_2), power(divide(10, const_2), const_2))))","divide(n0,const_2)|divide(n1,const_2)|power(#0,const_2)|power(#1,const_2)|add(#2,#3)|sqrt(#4)|rhombus_perimeter(#5)",physics
the cost of carpeting a room 18 m long with a carpet 75 cm wide at 4.50 per metre is 810 . the breadth of the room is :,length of the carpet = totalcost / rate / m = ( 8100 ⁄ 45 ) m = 180 m . area of the room = area of the carpet = ( 180 × 75 ⁄ 100 ) m 2 = 135 m 2 ∴ breadth of the room = arealength = 135 / 18 m = 7.5 m answer b,"a ) 7 m , b ) 7.5 m , c ) 8 m , d ) 8.5 m , e ) none of these",b,"divide(multiply(divide(810, 4.5), divide(75, const_100)), 18)","divide(n3,n2)|divide(n1,const_100)|multiply(#0,#1)|divide(#2,n0)",physics
"a farmer with 1350 acres of land had planted his fields with corn , sugar cane , and tobacco in the ratio of 5 : 2 : 2 , respectively , but he wanted to make more money , so he shifted the ratio to 2 : 2 : 5 , respectively . how many more acres of land were planted with tobacco under the new system ?",originally ( 2 / 9 ) * 1350 = 300 acres were planted with tobacco . in the new system ( 5 / 9 ) * 1350 = 750 acres were planted with tobacco . thus 750 - 300 = 450 more acres were planted with tobacco . the answer is e .,"a ) 90 , b ) 150 , c ) 270 , d ) 300 , e ) 450",e,"divide(multiply(1350, const_3), add(add(5, 2), 2))","add(n1,n2)|multiply(n0,const_3)|add(n2,#0)|divide(#1,#2)",other
"a metallic sheet is of rectangular shape with dimensions 50 m x 36 m . from each of its corners , a square is cut off so as to make an open box . if the length of the square is 8 m , the volume of the box ( in m 3 ) is :","""l = ( 50 - 16 ) m = 34 m , b = ( 36 - 16 ) m = 20 m , h = 8 m . volume of the box = ( 34 x 20 x 8 ) m 3 = 5440 m 3 . answer : option a""","a ) 5440 , b ) 5120 , c ) 6420 , d ) 7500 , e ) 8960",a,"volume_rectangular_prism(subtract(50, multiply(8, const_2)), subtract(36, multiply(8, const_2)), 8)","multiply(n2,const_2)|subtract(n0,#0)|subtract(n1,#0)|volume_rectangular_prism(n2,#1,#2)|",geometry
"the area of a square field 3136 sq m , if the length of cost of drawing barbed wire 3 m around the field at the rate of rs . 3.00 per meter . two gates of 1 m width each are to be left for entrance . what is the total cost ?","""a 2 = 3136 = > a = 56 56 * 4 * 3 = 672 – 6 = 666 * 3.0 = 1998 answer : c""","a ) s . 1014 , b ) s . 1140 , c ) s . 1998 , d ) s . 1085 , e ) s . 1020",c,"multiply(multiply(subtract(multiply(sqrt(3136), const_4), multiply(const_2, 1)), 3.00), 3)","multiply(n3,const_2)|sqrt(n0)|multiply(#1,const_4)|subtract(#2,#0)|multiply(n2,#3)|multiply(#4,n1)|",physics
"the ratio by weight , measured in pounds , of books to clothes to electronics in a suitcase initially stands at 5 : 4 : 2 . someone removes 9 pounds of clothing from the suitcase , thereby doubling the ratio of books to clothes . how many pounds do the electronics in the suitcase weigh ?","""the weights of the items in the suitcase are 5 k , 4 k , and 2 k . if removing 9 pounds of clothes doubles the ratio of books to clothes , then 9 pounds represents half the weight of the clothes . 2 k = 9 pounds and then k = 4.5 pounds . the electronics weigh 2 ( 4.5 ) = 9 pounds . the answer is c .""","a ) 7 , b ) 8 , c ) 9 , d ) 10 , e ) 11",c,"multiply(2, divide(negate(multiply(add(add(5, 4), 2), 9)), subtract(multiply(add(add(5, 4), 2), const_2), multiply(add(add(5, 4), 2), 4))))","add(n0,n1)|add(n2,#0)|multiply(n3,#1)|multiply(#1,const_2)|multiply(n1,#1)|negate(#2)|subtract(#3,#4)|divide(#5,#6)|multiply(n2,#7)|",other
for a race a distance of 224 meters can be covered by p in 7 seconds and q in 32 seconds . by what distance does p defeat q eventually ?,"""explanation : this is a simple speed time problem . given conditions : = > speed of p = 224 / 7 = 32 m / s = > speed of q = 224 / 32 = 7 m / s = > difference in time taken = 25 seconds therefore , distance covered by p in that time = 32 m / s x 25 seconds = 800 metres answer : a""","a ) 800 m , b ) 838 m , c ) 834 m , d ) 831 m , e ) 836 m",a,"subtract(224, multiply(7, speed(224, 32)))","speed(n0,n2)|multiply(n1,#0)|subtract(n0,#1)|",physics
"in a particular state , 70 % of the counties received some rain on monday , and 55 % of the counties received some rain on tuesday . no rain fell either day in 35 % of the counties in the state . what percent of the counties received some rain on monday and tuesday ?",70 + 55 + 35 = 160 % the number is 60 % above 100 % because 60 % of the counties were counted twice . the answer is d .,"a ) 20 % , b ) 40 % , c ) 50 % , d ) 60 % , e ) 70 %",d,"subtract(add(70, 55), subtract(const_100, 35))","add(n0,n1)|subtract(const_100,n2)|subtract(#0,#1)",gain
the present worth of a certain bill due sometime hence is rs . 400 and the true discount is rs . 20 . what is the banker ' s discount ?,"""explanation : bg = ( td ) 2 / pw = 202 / 400 = rs . 1 bg = bd – td = > 1 = bd - 20 = > bd = 1 + 20 = rs . 21 answer : option d""","a ) rs . 19 , b ) rs . 22 , c ) rs . 20 , d ) rs . 21 , e ) none of these",d,"add(20, divide(power(20, const_2), 400))","power(n1,const_2)|divide(#0,n0)|add(n1,#1)|",gain
the true discount on a bill of rs . 2660 is rs . 360 . what is the banker ' s discount ?,"""explanation : f = rs . 2660 td = rs . 360 pw = f - td = 2660 - 360 = rs . 2300 true discount is the simple interest on the present value for unexpired time = > simple interest on rs . 2300 for unexpired time = rs . 360 banker ' s discount is the simple interest on the face value of the bill for unexpired time = simple interest on rs . 2160 for unexpired time = 360 / 2300 × 2660 = 0.16 × 2660 = rs . 416 answer : option c""","a ) rs . 432 , b ) rs . 422 , c ) rs . 416 , d ) rs . 442 , e ) none of these",c,"multiply(divide(360, subtract(2660, 360)), 2660)","subtract(n0,n1)|divide(n1,#0)|multiply(n0,#1)|",gain
"a train covered half of the distance between stations a and b at the speed of 48 km / hr , but then it had to stop for 15 min . to make up for the delay , it increased its speed by 53 m / sec and it arrived to station b on time . find the distance between the two stations and the speed of the train after the stop .","first let us determine the speed of the train after the stop . the speed was increased by 53 m / sec = 5 ⋅ 60 ⋅ 6031000 km / hr = 6 km / hr . therefore , the new speed is 48 + 6 = 54 km / hr . if it took x hours to cover the first half of the distance , then it took x − 1560 = x − 0.25 hr to cover the second part . so the equation is : 48 ⋅ x = 54 ⋅ ( x − 0.25 ) 48 ⋅ x = 54 ⋅ x − 54 ⋅ 0.25 48 ⋅ x − 54 ⋅ x = − 13.5 − 6 x = − 13.5 x = 2.25 h . the whole distance is 2 × 48 × 2.25 = 216 km . answer is b .","a ) 206 , b ) 216 , c ) 226 , d ) 256 , e ) 246",b,"multiply(multiply(divide(multiply(add(48, multiply(const_3, const_2)), divide(15, const_60)), multiply(const_3, const_2)), 48), const_2)","divide(n1,const_60)|multiply(const_2,const_3)|add(n0,#1)|multiply(#2,#0)|divide(#3,#1)|multiply(n0,#4)|multiply(#5,const_2)",physics
"a certain city with a population of 84,000 is to be divided into 11 voting districts , and no district is to have a population that is more than 10 percent greater than the population of any other district what is the minimum possible population that the least populated district could have ?","""let x = number of people in smallest district x * 1.1 = number of people in largest district x will be minimised when the number of people in largest district is maximised 10 * x * 1.1 = 11 x = total number of people in other districts so we have 11 x + x = 84 k x = 7,000 answer : c""","a ) a ) 10,700 , b ) b ) 10,800 , c ) c ) 7,000 , d ) d ) 11,000 , e ) e ) 11,100",c,"multiply(multiply(const_4, const_2), const_100)","multiply(const_2,const_4)|multiply(#0,const_100)|",general
